OrderID,CustomerID,OrderDate,ProductCategory,Quantity,Price_USD,Shipping_City,Customer_Rating,Transaction_Status
1,CUST-93810,2023-12-12 00:00:00,Beauty,1.0,144.62,Phoenix,5.0,Success
ORD-2,CUST-24592,2023-10-15 00:00:00,beauty,1.0,32.64,Houston,5.0,Pending
ORD-3,CUST-13278,2023-04-25 00:00:00,Beauty,3.0,253.56,Chicago,4.0,Failed
ORD-4,CUST-46048,2023-11-28 00:00:00,Electronics,1.0,253.43,Los Angeles,4.0,Pending
ORD-5,cust-42098,2023-10-15 00:00:00,Beauty,4.0,117.17,phoenix,5.0,Success
ORD-6,CUST-39256,2023-07-19 00:00:00,Beauty,2.0,30.11,New York,5.0,Canceled
ORD-7,CUST-28289,2023-05-02 00:00:00,apparel,1.0,180.73,Houston,5.0,Compl3ted
ORD-8,CUST-23434,2023-09-19 00:00:00,Home Goods,1.0,$31.99,New York,5.0,Pending
ORD-9,CUST-98696,2023-12-23 00:00:00,Beauty,1.0,196.15,Houston,5.0,Pending
ORD-10,CUST-81482,2023-05-28 00:00:00,Electronics,1.0,29.79,Houston,4.0,Pending
ORD-11,CUST-21395,2023-12-21 00:00:00,Electronics,1.0,51.56,New York,5.0,Failed
ORD-12,CUST-87397,2023-01-35,Beauty,5.0,267.84,New York,6.0,Success
ORD-13,CUST-65302,2023-01-25 00:00:00,Apparel,4.0,203.93,Chicago,5.0,Canceled
ORD-14,,2023-07-15 00:00:00,El3ctronics,2.0,179.18,new york,5.0,Success
ORD-15,CUST-13905,2023-07-18 00:00:00,Books,3.0,,Phoenix,1.0,Success
16,CUST-22280,2023-08-02 00:00:00,Apparel,5.0,181.97,Los Angeles,5.0,Failed
ORD-17,CUST-38657,2023-12-17 00:00:00,Apparel,2.0,129.92,New York,3.0,Success
ORD-18,CUST-40495,2023-01-35,beauty,5.0,271.62,chicago,5.0,Failed
ORD-19,CUST-76237,2023-10-10 00:00:00,Home Goods,1.0,49.38,CHICAGO,2.0,Pending
ORD-20,CUST-88907,2023-01-28 00:00:00,Electronics,1.0,219.23,Chicago,3.0,Success
ORD-21,CUST-13478,2023-01-07 00:00:00,Beauty,3.0,120.67,New York,4.0,Canceled
ORD-22,cust-83563,2023-05-09 00:00:00,Beauty,3.0,283.26,Phoenix,3.0,Failed
ORD-23,CUST-36062,2023-04-14 00:00:00,books,1.0,202.73,Chicago,5.0,Pending
ORD-24,CUST-95181,2023-11-14 00:00:00,Home Goods,1.0,"99,99",New York,5.0,Pending
ORD-25,CUST-81426,2023-08-15 00:00:00,Beauty,1.5,,Los Angeles,3.0,Pending
ORD-26,CUST-64987,2023-04-26 00:00:00,Electronics,4.0,19.76,Phoenix,1.0,Pending
ORD-27,CUST-38893,2023-11-21 00:00:00,Home Goods,1.0,17.72,Phoenix,,Failed
ORD-28,CUST-68878,2023-12-27 00:00:00,electronics,3.0,109.62,Los Angeles,5.0,Failed
ORD-29,cust-87236,2023-12-30 00:00:00,Books,2.0,215.45,Los Angeles,5.0,Success
ORD-30,CUST-46463,2023-11-28 00:00:00,Home Goods,-4.0,81.3,new york,,Canceled
ORD-31,CUST-10851,2023-07-08 00:00:00,Apparel,4.0,,phoenix,3.0,Success
ORD-32,CUST-30926,2023-10-29 00:00:00,Home Goods,1.0,238.08,New York,5.0,Canceled
ORD-33,CUST-65392,2023-10-07 00:00:00,Electronics,1.0,129.94,Los Angeles,,Success
ORD-34,CUST-54597,2023-11-05 00:00:00,beauty,2.0,109.61,Phoenix,,Canceled
ORD-35,CUST-46421,2023-04-11 00:00:00,Books,1.0,17.99,Houston,2.0,Failed
ORD-36,CUST-30379,2023-04-10 00:00:00,Home Goods,4.0,270.38,houston,5.0,Success 
ORD-37,CUST-38221,2023-05-31 00:00:00,Books,1.0,194.49,Los Angeles,2.0,Failed
ORD-38,CUST-54118,2023-08-18 00:00:00,Electronics,2.0,57.22,New York,1.0,Pending
39,CUST-23396,2023-04-01 00:00:00,ELECTRONICS,2.0,88.81,Los Angeles,5.0,Success
ORD-40,CUST-22156,2023-12-16 00:00:00,ELECTRONICS,2.0,268.66,Phoenix,2.0,Failed
ORD-41,cust-59797,2023-02-08 00:00:00,Beauty,2.0,$208.82,Chicago,5.0,Failed
ORD-42,CUST-22676,2023-04-06 00:00:00,Apparel,1.0,169.67,Phoenix,5.0,Success
ORD-43,CUST-57052,2023-03-30 00:00:00,Books,3.0,103.33,PHOENIX,2.0,Canceled
ORD-44,CUST-55082,2023-09-21 00:00:00,Apparel,9999.0,116.33,houston,4.0,Canceled
ORD-45,CUST-89131,2023-03-03 00:00:00,Apparel,2.0,36.57,CHICAGO,4.0,Success 
ORD-46,,2023-07-13 00:00:00,Books ,4.0,279.65,New York,3.0,Canceled
ORD-47,,2023-01-21 00:00:00,electronics,3.0,176.4,houston,5.0,Success
ORD-48,CUST-70217,2023-08-08 00:00:00,Apparel,1.0,258.4,Phoenix,1.0,Pending
ORD-49,CUST-80284,2023-01-35,Books,2.0,199.3,Phoenix,3.0,Failed
ORD-50,CUST-26361,2023-12-10 00:00:00,Home Goods,1.0,194.15,New York,3.0,Pending
ORD-51,CUST-59615,2023-05-16 00:00:00,Apparel,4.0,58.61,Los Angeles,5.0,Pending
ORD-52,CUST-20328,2023-08-03 00:00:00,Electronics,1.0,193.8,Houston,4.0,Failed
,cust-82357,2023-01-35,Beauty,2.0,266.01,Chicago,5.0,Pending
ORD-54,CUST-48427,2023-01-35,Books,2.0,278.24,Los Angeles,2.0,Canceled
ORD-55,,2023-05-11 00:00:00,Apparel,1.0,212.09,Phoenix,5.0,Success
ORD-56,CUST-91070,2023-01-03 00:00:00,Electronics,4.0,88.5,Chicago,5.0,Success 
ORD-57,cust-57400,2023-06-19 00:00:00,Electronics,9999.0,184.9,New York,4.0,Pending
ORD-58,CUST-85674,2023-08-27 00:00:00,Books,1.0,118.2,Houston,2.0,Pending
